Date,Description,Headline,Link,Section
13 hrs ago,"The Israeli Prime Minister will speak about his vision for peace in the region, US lawmakers said.",Netanyahu to address US Congress on 24 July,https://www.bbc.com//news/articles/c4nnj93pe4yo, Israel-Gaza War
14 hrs ago,Israel says it killed at least nine militants but the deaths of 14 children are also being reported.,US urges Israel to be transparent over Gaza school strike,https://www.bbc.com//news/articles/cekkd8k2gy9o, Israel-Gaza War
22 hrs ago,"The Israeli military said it struck a ""Hamas compound"" in the school - a claim Hamas officials deny.",Israeli strike on UN school in Gaza reportedly kills at least 35,https://www.bbc.com//news/articles/crggq0jygq6o, Israel-Gaza War
1 day ago,Dozens of people are reported to have been killed in the strike which Israel says targeted Hamas.,Witnesses tell of 'unimaginable' Gaza shelter air strike,https://www.bbc.com//news/articles/cp335xyymjgo, Israel-Gaza War
1 day ago,"Children are ""dying due to malnutrition and dehydration"", an Unrwa spokesperson tells BBC Arabic.",Rapid displacement of Gazans 'having deadly effect',https://www.bbc.com//news/articles/c4nnpv2d7vko, Israel-Gaza War
1 day ago,One of the opponents to the mural says she is “extremely concerned” by the artwork.,Call to remove pro-Palestine mural from building,https://www.bbc.com//news/articles/c722zxv8n6mo, Israel-Gaza War
2 days ago,"Tens of thousands took part in the Jerusalem Day flag march, seen as a provocation by Palestinians.",Israeli nationalists march through Jerusalem's Old City,https://www.bbc.com//news/articles/cm55dp8x5keo, Israel-Gaza War
2 days ago,Medical charity MSF says 70 dead people have been brought to a central Gaza hospital since Tuesday.,Israel launches new military operation in central Gaza,https://www.bbc.com//news/articles/cw44wpj99v7o, Israel-Gaza War
2 days ago,"Residents of areas on the Israel-Lebanon border tell the BBC they ""feel like the forgotten people"".",Israelis using gardening tools to fight wildfires sparked by Hezbollah rockets,https://www.bbc.com//news/articles/cekkr1x2yrpo, Israel-Gaza War
20 mins ago,The US president also made a speech defending democracy at the site where US rangers stormed a Nazi stronghold on D-Day.,Biden apologises for delay in Ukraine military aid,https://www.bbc.com//news/articles/cv22kz2102ro, War in Ukraine
16 hrs ago,"Joe Biden says democracies are under threat, adding autocrats are ""watching what happens in Ukraine"". ",Biden links WW2 and Ukraine war in D-Day address,https://www.bbc.com//news/articles/cjkkzmj0p5xo, War in Ukraine
19 hrs ago,"Moscow says the man was gathering military data about Russia and failed to register as a ""foreign agent"".",Russia holds Frenchman accused of military spying,https://www.bbc.com//news/articles/cl44z775j12o, War in Ukraine
1 day ago,Russia’s economy has been cut off from the global financial system - but it is still growing. Why?,"Russia's economy is growing, but can it last?",https://www.bbc.com//news/articles/c4nn7pej9jyo, War in Ukraine
2 days ago,The Russian president has been criticising the West's delivery of long-range weapons to Ukraine.,Putin warns Russia could provide weapons to strike West,https://www.bbc.com//news/articles/cn44r9zjnpjo, War in Ukraine
2 days ago,A man is under investigation after being badly burned in an explosion in his hotel room near Paris.,French police arrest Russian-Ukrainian man on bomb-making charges,https://www.bbc.com//news/articles/ce5564x3167o, War in Ukraine
2 days ago,"The charity event later consists of a gig, auction and documentary showing at Birmingham's Forum.",Ukrainian band Antytila hosts army fundraiser ,https://www.bbc.com//news/articles/cd11q4d8jyxo, War in Ukraine
3 days ago,The defence company projects sales will reach £1bn by 2030 amid conflicts in Ukraine and Gaza. ,"War will drive a decade of arms restocking, says firm",https://www.bbc.com//news/articles/c3ggd88er4ro, War in Ukraine
4 days ago,"Donald Tusk is urging Poles to vote for his coalition, to best protect against Russian aggression.",'Vote or face war': Poland PM's stark warning ahead of EU election,https://www.bbc.com//news/articles/c88804wnn2go, War in Ukraine
23 mins ago,We examine some of the claims on topics from tax to crime that may be raised in the BBC Election Debate.,BBC Verify's five things to watch out for in the election debate,https://www.bbc.com//news/articles/crgg2kj3j7jo, UK General Election
28 mins ago,BBC London political reporter Susana Mendonça has been to the marginal constituency of Wimbledon.,Wimbledon - could voters here be switching sides?,https://www.bbc.com//news/articles/cyeey26ynlxo, UK General Election
37 mins ago,Rishi Sunak said that it was a mistake not to stay in France longer to mark the anniversary of the Normandy landings.,PM apologises for leaving D-Day commemorations early,https://www.bbc.com//news/articles/c722zv2myjro, UK General Election
